STUDY ACCESSION	PUBMEDID	FIRST AUTHOR	DATE	INITIAL SAMPLE DESCRIPTION	REPLICATION SAMPLE DESCRIPTION	STAGE	NUMBER OF INDIVDUALS	BROAD ANCESTRAL CATEGORY	COUNTRY OF ORIGIN	COUNTRY OF RECRUITMENT	ADDITONAL ANCESTRY DESCRIPTION
GCST004248	28183528	Jun GR	2017-02-06	8,271 European ancestry cases, 3,480 European ancestry controls, 865 African American cases, 1,241 African American control, 535 Japanese ancestry cases, 151 Japanese ancestry controls	3,062 European ancestry cases, 8,977 European ancestry controls	replication	12039	European	NR	NR	
GCST004248	28183528	Jun GR	2017-02-06	8,271 European ancestry cases, 3,480 European ancestry controls, 865 African American cases, 1,241 African American control, 535 Japanese ancestry cases, 151 Japanese ancestry controls	3,062 European ancestry cases, 8,977 European ancestry controls	initial	2106	African American or Afro-Caribbean	NR	NR	
GCST004249	28183528	Jun GR	2017-02-06	4,829 European ancestry cases, 9,740 European ancestry controls, 607 African American cases, 2,270 African American controls, 416  Japanese ancestry cases, 743 Japanese ancestry controls, 51 Israeli-Arab ancestry cases, 64 Israeli-Arab ancestry controls	2,751 European ancestry cases, 11,497 European ancestry controls	replication	14248	European	NR	NR	
GCST004249	28183528	Jun GR	2017-02-06	4,829 European ancestry cases, 9,740 European ancestry controls, 607 African American cases, 2,270 African American controls, 416  Japanese ancestry cases, 743 Japanese ancestry controls, 51 Israeli-Arab ancestry cases, 64 Israeli-Arab ancestry controls	2,751 European ancestry cases, 11,497 European ancestry controls	initial	2877	African American or Afro-Caribbean	NR	NR	
GCST004249	28183528	Jun GR	2017-02-06	4,829 European ancestry cases, 9,740 European ancestry controls, 607 African American cases, 2,270 African American controls, 416  Japanese ancestry cases, 743 Japanese ancestry controls, 51 Israeli-Arab ancestry cases, 64 Israeli-Arab ancestry controls	2,751 European ancestry cases, 11,497 European ancestry controls	initial	14569	European	NR	NR	
GCST004249	28183528	Jun GR	2017-02-06	4,829 European ancestry cases, 9,740 European ancestry controls, 607 African American cases, 2,270 African American controls, 416  Japanese ancestry cases, 743 Japanese ancestry controls, 51 Israeli-Arab ancestry cases, 64 Israeli-Arab ancestry controls	2,751 European ancestry cases, 11,497 European ancestry controls	initial	115	Greater Middle Eastern (Middle Eastern, North African or Persian)	NR	NR	
GCST004249	28183528	Jun GR	2017-02-06	4,829 European ancestry cases, 9,740 European ancestry controls, 607 African American cases, 2,270 African American controls, 416  Japanese ancestry cases, 743 Japanese ancestry controls, 51 Israeli-Arab ancestry cases, 64 Israeli-Arab ancestry controls	2,751 European ancestry cases, 11,497 European ancestry controls	initial	1159	East Asian	NR	NR	
GCST004217	28358029	Afshari NA	2017-03-30	1,404 European ancestry cases, 2,564 European ancestry controls	671 European ancestry cases, 778 European ancestry controls	replication	1449	European	NR	U.S., Australia	
GCST004217	28358029	Afshari NA	2017-03-30	1,404 European ancestry cases, 2,564 European ancestry controls	671 European ancestry cases, 778 European ancestry controls	initial	3968	European	NR	U.S.	
GCST004224	28355232	Ward-Caviness CK	2017-03-29	1,562 European ancestry individuals, 538 African American individuals	NA	initial	1562	European	NR	U.S.	
GCST004224	28355232	Ward-Caviness CK	2017-03-29	1,562 European ancestry individuals, 538 African American individuals	NA	initial	538	African American or Afro-Caribbean	NR	U.S.	
GCST002895	25956309	Palomba G	2015-05-10	1,367 Sardinian cases, 1,658 Sardinian controls	201 Sardinian cases, 1,467 Sardinian controls, 61,485 European ancestry cases, 60,860 European ancestry controls	initial	3025	European	Italy	Italy	
GCST002895	25956309	Palomba G	2015-05-10	1,367 Sardinian cases, 1,658 Sardinian controls	201 Sardinian cases, 1,467 Sardinian controls, 61,485 European ancestry cases, 60,860 European ancestry controls	replication	124013	European	Italy	Italy	
GCST002968	25950743	Uttayamakul S	2015-06-15	49 Thai ancestry cases, 92 Thai ancestry controls	95 Thai ancestry cases, 95 Thai ancestry controls	replication	190	South East Asian	NR	Thailand	
GCST002968	25950743	Uttayamakul S	2015-06-15	49 Thai ancestry cases, 92 Thai ancestry controls	95 Thai ancestry cases, 95 Thai ancestry controls	initial	141	South East Asian	NR	Thailand	
GCST002556	25096241	Keller MF	2014-08-05	16,843 Japanese ancestry individuals, 19,509 European ancestry individuals, 16,388 African American individuals	NA	initial	19509	European	NR	NR	
GCST002556	25096241	Keller MF	2014-08-05	16,843 Japanese ancestry individuals, 19,509 European ancestry individuals, 16,388 African American individuals	NA	initial	16843	East Asian	NR	Japan	
GCST002556	25096241	Keller MF	2014-08-05	16,843 Japanese ancestry individuals, 19,509 European ancestry individuals, 16,388 African American individuals	NA	initial	16388	African American or Afro-Caribbean	NR	U.S.	
GCST002557	25096241	Keller MF	2014-08-05	9,802 Japanese ancestry individuals, 16,550 European ancestry individuals, 7,391 African American individuals	NA	initial	9802	East Asian	NR	Japan	
GCST002557	25096241	Keller MF	2014-08-05	9,802 Japanese ancestry individuals, 16,550 European ancestry individuals, 7,391 African American individuals	NA	initial	16550	European	NR	NR	
GCST002557	25096241	Keller MF	2014-08-05	9,802 Japanese ancestry individuals, 16,550 European ancestry individuals, 7,391 African American individuals	NA	initial	7391	African American or Afro-Caribbean	NR	U.S.	
GCST002555	25096241	Keller MF	2014-08-05	9,810 Japanese ancestry individuals, 16,550 European ancestry individuals, 7,369 African American individuals	NA	initial	16550	European	NR	NR	
GCST002555	25096241	Keller MF	2014-08-05	9,810 Japanese ancestry individuals, 16,550 European ancestry individuals, 7,369 African American individuals	NA	initial	7369	African American or Afro-Caribbean	NR	U.S.	
GCST002555	25096241	Keller MF	2014-08-05	9,810 Japanese ancestry individuals, 16,550 European ancestry individuals, 7,369 African American individuals	NA	initial	9810	East Asian	NR	Japan	
GCST002379	24487271	Weizman A	2014-03-01	92 European ancestry cases, 5,664 European ancestry controls	NA	initial	5756	European	NR	U.S.	
GCST002380	24487271	Weizman A	2014-03-01	103 European ancestry cases, 5,653 European ancestry controls	NA	initial	5756	European	NR	U.S.	
GCST002926	26025128	Park HW	2015-05-27	489 European ancestry children	NA	initial	489	European	NR	NR	
GCST002939	26024889	Qayyum R	2015-05-30	825 African American individuals	119 African American individuals, 1,221 European ancestry individuals	initial	825	African American or Afro-Caribbean	NR	U.S.	
GCST002939	26024889	Qayyum R	2015-05-30	825 African American individuals	119 African American individuals, 1,221 European ancestry individuals	replication	1221	European	NR	U.S.	
GCST002939	26024889	Qayyum R	2015-05-30	825 African American individuals	119 African American individuals, 1,221 European ancestry individuals	replication	119	African American or Afro-Caribbean	NR	U.S.	
GCST003038	26186006	Abrantes P	2015-07-17	100 European ancestry cases, 92 European ancestry controls	100 European ancestry cases, 407 European ancestry controls	replication	507	European	NR	Portugal	
GCST003038	26186006	Abrantes P	2015-07-17	100 European ancestry cases, 92 European ancestry controls	100 European ancestry cases, 407 European ancestry controls	initial	192	European	NR	Portugal	
GCST003014	26256467	Wojczynski MK	2015-07-03	872 European ancestry individuals	843 Old Order Amish individuals	initial	872	European	NR	U.S.	
GCST003014	26256467	Wojczynski MK	2015-07-03	872 European ancestry individuals	843 Old Order Amish individuals	replication	843	European	NR	U.S.	
GCST003016	26207136	Cho CH	2015-07-06	263 European ancestry cases with hypersomnia, 112 European ancestry cases without hypersomnia	NA	initial	375	European	NR	NR	
GCST003049	26199339	Liu CY	2015-07-21	833 European ancestry cases, 739 European ancestry controls	2,960 European ancestry cases, 2,646 European ancestry controls	initial	1572	European	NR	U.S.	
GCST003049	26199339	Liu CY	2015-07-21	833 European ancestry cases, 739 European ancestry controls	2,960 European ancestry cases, 2,646 European ancestry controls	replication	5606	European	NR	U.S., France	
GCST003224	26573232	Wu L	2015-11-09	30 East Asian ancestry responder cases, 62 East Asian ancestry non-responder cases	62 East Asian ancestry responder cases, 339 East Asian ancestry non-responder cases	replication	401	NR	NR	China	
GCST003224	26573232	Wu L	2015-11-09	30 East Asian ancestry responder cases, 62 East Asian ancestry non-responder cases	62 East Asian ancestry responder cases, 339 East Asian ancestry non-responder cases	initial	92	NR	NR	China	
GCST003128	26394188	Zhu Z	2015-09-22	960 Han Chinese ancestry cases, 1,499 Han Chinese ancestry controls	3,316 Han Chinese ancestry cases,  4,516 Han Chinese ancestry controls	initial	2459	East Asian	NR	China, China, Hong Kong SAR	
GCST003128	26394188	Zhu Z	2015-09-22	960 Han Chinese ancestry cases, 1,499 Han Chinese ancestry controls	3,316 Han Chinese ancestry cases,  4,516 Han Chinese ancestry controls	replication	7832	East Asian	NR	China, China, Hong Kong SAR	
GCST003115	26350878	Tashjian RZ	2015-09-05	311 European ancestry cases, 2,641 European ancestry controls	NA	initial	2952	European	NR	U.S.	
GCST003050	26198764	Goes FS	2015-07-21	1,505 Ashkenazi Jewish founder cases, 2,553 Ashkenazi Jewish founder controls	NA	initial	4058	Other	NR	U.S., NR	
GCST003048	26198764	Goes FS	2015-07-21	592 Ashkenazi Jewish ancestry cases, 505 Ashkenazi Jewish ancestry controls, 36,989 cases, 113,075 controls	NA	initial	150064	NR	NR	NR	
GCST003048	26198764	Goes FS	2015-07-21	592 Ashkenazi Jewish ancestry cases, 505 Ashkenazi Jewish ancestry controls, 36,989 cases, 113,075 controls	NA	initial	1097	Other	NR	U.S.	
GCST003151	26451028	Hofer E	2015-10-08	1,085 European ancestry elderly cases, 6,688 European ancestry elderly controls	NA	initial	7773	European	NR	U.S., Australia, Iceland, Netherlands, U.K., Austria, France, Republic of Ireland	
GCST003152	26451028	Hofer E	2015-10-08	1,085 European ancestry elderly cases, 6,688 European ancestry elderly controls	NA	initial	7773	European	NR	U.S., Australia, Iceland, Netherlands, U.K., Austria, France, Republic of Ireland	
GCST003148	26443449	Wang M	2015-10-07	3,000 East Asian ancestry cases, 4,394 East Asian ancestry controls	3,605 East Asian ancestry cases, 3,919 East Asian ancestry controls	initial	7394	East Asian	NR	China, Japan	
GCST003148	26443449	Wang M	2015-10-07	3,000 East Asian ancestry cases, 4,394 East Asian ancestry controls	3,605 East Asian ancestry cases, 3,919 East Asian ancestry controls	replication	7524	East Asian	NR	U.S., China	
GCST003114	26343869	Xie G	2015-09-05	810 Chinese ancestry individuals	NA	initial	810	East Asian	NR	China	
GCST003118	26348319	Myung W	2015-09-08	263 Korean ancestry responder cases, 218 Korean ancestry non-responder cases	118 Korean ancestry responder cases, 112 Korean ancestry non-responder cases	replication	230	East Asian	NR	Republic of Korea	
GCST003118	26348319	Myung W	2015-09-08	263 Korean ancestry responder cases, 218 Korean ancestry non-responder cases	118 Korean ancestry responder cases, 112 Korean ancestry non-responder cases	initial	481	East Asian	NR	Republic of Korea	
GCST003382	27023175	Stringer S	2016-03-29	32,330 European ancestry individuals	2,660 African American individuals, 2,967 European ancestry individuals	initial	32330	European	NR	Finland, U.S., Australia, Netherlands, U.K., Spain, Estonia	
GCST003382	27023175	Stringer S	2016-03-29	32,330 European ancestry individuals	2,660 African American individuals, 2,967 European ancestry individuals	replication	2967	European	NR	Netherlands, Canada, U.K.	
GCST003382	27023175	Stringer S	2016-03-29	32,330 European ancestry individuals	2,660 African American individuals, 2,967 European ancestry individuals	replication	2660	African American or Afro-Caribbean	NR	U.S.	
GCST003520	27354352	Han MR	2016-06-27	7,619 East Asian ancestry cases, 6,286 East Asian ancestry controls	6,605 East Asian ancestry cases, 8,543 East Asian ancestry controls	replication	15148	East Asian	NR	Republic of Korea, Japan	
GCST003520	27354352	Han MR	2016-06-27	7,619 East Asian ancestry cases, 6,286 East Asian ancestry controls	6,605 East Asian ancestry cases, 8,543 East Asian ancestry controls	initial	13905	East Asian	NR	Republic of Korea, China, Japan	
GCST003483	26959369	Haiman CA	2016-03-09	364 African American current smoker individuals, 311 Native Hawaiian ancestry current smoker individuals, 437 European ancestry current smoker individuals, 453 Latino ancestry current smoker individuals, 674 Japanese American ancestry current smoker individuals	NA	initial	437	European	NR	U.S.	
GCST003483	26959369	Haiman CA	2016-03-09	364 African American current smoker individuals, 311 Native Hawaiian ancestry current smoker individuals, 437 European ancestry current smoker individuals, 453 Latino ancestry current smoker individuals, 674 Japanese American ancestry current smoker individuals	NA	initial	674	East Asian	NR	U.S.	
GCST003483	26959369	Haiman CA	2016-03-09	364 African American current smoker individuals, 311 Native Hawaiian ancestry current smoker individuals, 437 European ancestry current smoker individuals, 453 Latino ancestry current smoker individuals, 674 Japanese American ancestry current smoker individuals	NA	initial	311	Oceanian	NR	U.S.	
GCST003483	26959369	Haiman CA	2016-03-09	364 African American current smoker individuals, 311 Native Hawaiian ancestry current smoker individuals, 437 European ancestry current smoker individuals, 453 Latino ancestry current smoker individuals, 674 Japanese American ancestry current smoker individuals	NA	initial	453	Hispanic or Latin American	NR	U.S.	
GCST003483	26959369	Haiman CA	2016-03-09	364 African American current smoker individuals, 311 Native Hawaiian ancestry current smoker individuals, 437 European ancestry current smoker individuals, 453 Latino ancestry current smoker individuals, 674 Japanese American ancestry current smoker individuals	NA	initial	364	African American or Afro-Caribbean	NR	U.S.	
GCST003651	27402877	Hill-Burns EM	2016-07-11	1,554 European ancestry cases	2,363 European ancestry cases	initial	1554	European	NR	U.S.	
GCST003651	27402877	Hill-Burns EM	2016-07-11	1,554 European ancestry cases	2,363 European ancestry cases	replication	2363	European	NR	NR	
GCST003653	27402877	Hill-Burns EM	2016-07-11	1985 European ancestry cases	3100 European ancestry cases	replication	3100	European	NR	NR	
GCST003653	27402877	Hill-Burns EM	2016-07-11	1985 European ancestry cases	3100 European ancestry cases	initial	1985	European	NR	U.S.	
GCST003652	27402877	Hill-Burns EM	2016-07-11	431 European ancestry cases	737 European ancestry cases	replication	737	European	NR	NR	
GCST003652	27402877	Hill-Burns EM	2016-07-11	431 European ancestry cases	737 European ancestry cases	initial	431	European	NR	U.S.	
GCST003822	27764800	Cox DG	2016-10-14	1,944 French ancestry estrogen receptor positive cases,  1,331 French ancestry estrogen receptor negative cases	NA	initial	3275	European	NR	France	
GCST003823	27764800	Cox DG	2016-10-14	4,267 French ancestry estrogen receptor positive cases,  1,185 French ancestry estrogen receptor negative cases	NA	initial	5452	European	NR	France	
GCST003821	27764800	Cox DG	2016-10-14	6,211 French ancestry estrogen receptor positive cases, 2,516 French ancestry estrogen receptor negative cases	NA	initial	8727	European	NR	France	
GCST003878	27936112	Kalsi G	2016-12-09	370 Han Chinese ancestry cases, 134 Han Chinese ancestry controls		initial	504	East Asian	NR	China	
